h,s,t,r/2,zr,cx,cz,thetaWheel_-25,thetaWheel_-24,thetaWheel_-23,thetaWheel_-22,thetaWheel_-21,thetaWheel_-20,thetaWheel_-19,thetaWheel_-18,thetaWheel_-17,thetaWheel_-16,thetaWheel_-15,thetaWheel_-14,thetaWheel_-13,thetaWheel_-12,thetaWheel_-11,thetaWheel_-10,thetaWheel_-9,thetaWheel_-8,thetaWheel_-7,thetaWheel_-6,thetaWheel_-5,thetaWheel_-4,thetaWheel_-3,thetaWheel_-2,thetaWheel_-1,thetaWheel_0,thetaWheel_1,thetaWheel_2,thetaWheel_3,thetaWheel_4,thetaWheel_5,thetaWheel_6,thetaWheel_7,thetaWheel_8,thetaWheel_9,thetaWheel_10,thetaWheel_11,thetaWheel_12,thetaWheel_13,thetaWheel_14,thetaWheel_15,thetaWheel_16,thetaWheel_17,thetaWheel_18,thetaWheel_19,thetaWheel_20,thetaWheel_21,thetaWheel_22,thetaWheel_23,thetaWheel_24,thetaWheel_25
50,10,100,30,10,-14,-30,53.8749,52.3995,50.8948,49.3594,47.7916,46.1897,44.5518,42.8758,41.1591,39.3992,37.5929,35.7369,33.8271,31.859,29.8275,27.7263,25.5484,23.2851,20.9262,18.4589,15.8677,13.1322,10.2262,7.11402,3.74536,0.0448795,-4.10959,-8.94221,-14.9644,-24.2055,-33.6879,-33.8025,-33.9199,-34.0403,-34.1635,-34.2899,-34.4193,-34.5519,-34.6877,-34.8268,-34.9694,-35.1154,-35.265,-35.4181,-35.575,-35.7356,-35.9001,-36.0684,-36.2408,-36.4172,-36.5977
40,30,100,50,10,-14,-50,42.892,41.8238,40.7264,39.5985,38.4386,37.2452,36.0163,34.7501,33.4444,32.0967,30.7042,29.2638,27.772,26.2247,24.6172,22.944,21.1987,19.3737,17.4597,15.4453,13.3165,11.0552,8.63764,6.03169,3.19151,0.0478633,-3.51333,-7.70722,-13.0535,-22.2001,-27.7933,-27.9723,-28.1562,-28.3451,-28.5393,-28.7388,-28.9439,-29.1546,-29.3711,-29.5937,-29.8224,-30.0575,-30.2991,-30.5473,-30.8025,-31.0647,-31.3342,-31.6111,-31.8957,-32.1881,-32.4885
50,30,100,50,10,-14,-50,49.5438,48.3482,47.1195,45.8562,44.5564,43.218,41.839,40.4168,38.9486,37.4314,35.8616,34.2352,32.5478,30.794,28.9678,27.0619,25.0679,22.9756,20.7726,18.4433,15.9682,13.3215,10.4688,7.36142,3.92687,0.0478633,-4.4904,-10.1782,-18.9835,-27.7937,-28.0186,-28.2515,-28.4927,-28.7426,-29.0015,-29.27,-29.5484,-29.8371,-30.1367,-30.4477,-30.7705,-31.1058,-31.4541,-31.816,-32.1922,-32.5834,-32.9904,-33.4137,-33.8544,-34.3132,-34.7909
40,20,80,60,10,-14,-40,45.6355,44.4722,43.2782,42.052,40.7922,39.497,38.1647,36.7931,35.3801,33.923,32.4192,30.8654,29.258,27.5932,25.8662,24.0717,22.2035,20.2545,18.216,16.0778,13.8272,11.4485,8.9219,6.22135,3.31168,0.14326,-3.35833,-7.31433,-11.9496,-17.7899,-27.156,-34.9179,-35.2116,-35.5156,-35.8303,-36.1561,-36.4936,-36.8433,-37.2056,-37.5811,-37.9703,-38.374,-38.7926,-39.2269,-39.6775,-40.1451,-40.6305,-41.1344,-41.6577,-42.2011,-42.7656
50,40,100,60,10,-14,-60,49.411,48.2749,47.1041,45.8967,44.6507,43.3639,42.0338,40.6577,39.2325,37.7549,36.221,34.6265,32.9663,31.2349,29.4255,27.5304,25.5405,23.4448,21.2299,18.8794,16.3722,13.6812,10.7698,7.58633,4.05427,0.0495142,-4.65597,-10.588,-19.9601,-28.4787,-28.8357,-29.2086,-29.5985,-30.0062,-30.433,-30.88,-31.3484,-31.8395,-32.3549,-32.8961,-33.4647,-34.0627,-34.6919,-35.3546,-36.0529,-36.7893,-37.5666,-38.3875,-39.2552,-40.173,-41.1444
50,10,100,30,10,-16,-30,51.5004,50.0688,48.6092,47.1206,45.6013,44.0499,42.4646,40.8436,39.1846,37.4853,35.743,33.9546,32.1169,30.2258,28.2769,26.265,24.1841,22.0271,19.7856,17.4493,15.006,12.4399,9.73137,6.85455,3.7745,0.441966,-3.21654,-7.31971,-12.084,-17.9974,-26.9165,-36.8581,-36.9755,-37.0958,-37.2191,-37.3454,-37.4749,-37.6075,-37.7433,-37.8824,-38.025,-38.171,-38.3205,-38.4737,-38.6306,-38.7912,-38.9556,-39.124,-39.2964,-39.4728,-39.6533
40,10,80,50,10,-16,-30,44.9446,43.7069,42.4422,41.1496,39.8277,38.4753,37.091,35.6731,34.22,32.7297,31.2,29.6286,28.0128,26.3496,24.6354,22.8666,21.0385,19.146,17.1831,15.1428,13.0166,10.7944,8.46376,6.0091,3.41061,0.642296,-2.33115,-5.55981,-9.11916,-13.1328,-17.832,-23.7638,-33.454,-40.7754,-40.9695,-41.1691,-41.3741,-41.5848,-41.8014,-42.0239,-42.2526,-42.4877,-42.7293,-42.9776,-43.2327,-43.495,-43.7645,-44.0414,-44.3259,-44.6183,-44.9187
60,30,100,50,10,-16,-50,54.0236,52.7339,51.4093,50.0479,48.6477,47.2066,45.7219,44.191,42.6107,40.9776,39.2877,37.5366,35.7192,33.8295,31.8607,29.8049,27.6525,25.3922,23.01,20.4887,17.8065,14.9349,11.8358,8.45533,4.71361,0.4817,-4.47589,-10.6946,-20.3051,-30.0758,-30.3547,-30.6458,-30.9499,-31.2676,-31.5999,-31.9476,-32.3117,-32.6931,-33.0931,-33.5127,-33.9533,-34.4163,-34.9032,-35.4157,-35.9554,-36.5245,-37.1249,-37.7589,-38.429,-39.138,-39.8887
40,30,90,60,10,-16,-50,42.864,41.8015,40.7094,39.5861,38.4303,37.2404,36.0145,34.7507,33.4469,32.1006,30.7092,29.2697,27.7787,26.2324,24.6264,22.9557,21.2146,19.3963,17.4927,15.4942,13.3892,11.1632,8.798,6.26973,3.54657,0.583949,-2.68412,-6.36323,-10.6437,-15.947,-23.8018,-33.3725,-33.6662,-33.9702,-34.2849,-34.6107,-34.9482,-35.2979,-35.6602,-36.0357,-36.425,-36.8286,-37.2472,-37.6815,-38.1321,-38.5997,-39.0851,-39.589,-40.1123,-40.6558,-41.2202
50,30,90,60,10,-16,-50,49.4637,48.2796,47.0618,45.8085,44.518,43.1881,41.8166,40.401,38.9386,37.4261,35.8601,34.2367,32.5513,30.799,28.9738,27.069,25.0766,22.9873,20.7898,18.4704,16.0124,13.3942,10.5881,7.55672,4.24789,0.583949,-3.56005,-8.41179,-14.4876,-23.8272,-33.4463,-33.8193,-34.2091,-34.6169,-35.0437,-35.4906,-35.959,-36.4502,-36.9655,-37.5067,-38.0754,-38.6733,-39.3026,-39.9652,-40.6635,-41.4,-42.1772,-42.9982,-43.8659,-44.7836,-45.755
40,10,100,30,10,-18,-30,41.7653,40.5807,39.3725,38.1396,36.8812,35.5963,34.2837,32.9421,31.5703,30.1666,28.7294,27.2567,25.7466,24.1965,22.6039,20.9656,19.2781,17.5376,15.7393,13.8778,11.9467,9.93838,7.84351,5.65072,3.34571,0.910177,-1.68001,-4.45776,-7.46997,-10.7877,-14.5284,-18.9134,-24.4771,-33.8863,-39.8893,-39.9853,-40.0831,-40.1826,-40.2839,-40.387,-40.492,-40.5988,-40.7074,-40.8179,-40.9303,-41.0445,-41.1606,-41.2786,-41.3984,-41.5201,-41.6437
50,20,100,40,10,-18,-40,47.4302,46.1923,44.9254,43.6281,42.2989,40.9365,39.5389,38.1044,36.6307,35.1156,33.5564,31.9501,30.2934,28.5823,26.8126,24.9791,23.0759,21.0962,19.0317,16.8724,14.6062,12.2182,9.68911,6.99395,4.09901,0.956819,-2.50328,-6.39526,-10.9266,-16.5642,-25.0832,-34.5872,-34.7504,-34.9183,-35.0912,-35.2692,-35.4525,-35.6412,-35.8356,-36.0358,-36.2419,-36.4543,-36.6731,-36.8986,-37.1308,-37.3701,-37.6167,-37.8708,-38.1326,-38.4024,-38.6805
